projectname,configfileurl
global,https://raw.githubusercontent.com/gfarturo/hotconfig/master/Hot_Global_Dashboard_Dashboard_config.csv
ramanihuria,https://raw.githubusercontent.com/gfarturo/hotramanihuria/master/Hot_Ramani_Huria_Dashboard_config.csv
projecttest,https://raw.githubusercontent.com/gfarturo/hotprojecttest/master/Hot_Project_Test_Dashboard_config.csv
